Title,Contest ID,Problem ID,Difficulty,Tags
Digital Village (Hard Version),2021,E2,N/A,"data structures, dp, dsu, graphs, math, trees"
Digital Village (Easy Version),2021,E1,N/A,"brute force, data structures, dfs and similar, dp, dsu, fft, graphs, greedy, implementation, math, trees"
"Boss, Thirsty",2021,D,N/A,"dp, greedy, implementation"
Adjust The Presentation (Hard Version),2021,C2,N/A,"constructive algorithms, data structures, greedy, implementation, sortings"
Adjust The Presentation (Easy Version),2021,C1,N/A,"constructive algorithms, greedy"
Maximize Mex,2021,B,N/A,"brute force, greedy, math, number theory"
Meaning Mean,2021,A,N/A,"data structures, greedy, math, sortings"
Count Leaves,2020,F,N/A,"dp, math, number theory"
Expected Power,2020,E,N/A,"bitmasks, dp, math, probabilities"
Connect the Dots,2020,D,N/A,"brute force, dp, dsu, graphs, math, trees"
Bitwise Balancing,2020,C,N/A,"bitmasks, hashing, implementation, math, schedules, ternary search"
Brightness Begins,2020,B,N/A,"binary search, math"
Find Minimum Operations,2020,A,N/A,"bitmasks, brute force, greedy, math, number theory"
All Pairs Segments,2019,B,N/A,"implementation, math"
Max Plus Size,2019,A,N/A,"brute force, dp, greedy"
Speedbreaker Counting (Hard Version),2018,F3,N/A,"dp, greedy, math"
Speedbreaker Counting (Medium Version),2018,F2,N/A,"dp, greedy, math"
Speedbreaker Counting (Easy Version),2018,F1,N/A,"combinatorics, dp, greedy, math"
Complex Segments (Hard Version),2018,E2,N/A,"binary search, data structures, divide and conquer, dsu, greedy, math, sortings"
Complex Segments (Easy Version),2018,E1,N/A,"binary search, data structures, divide and conquer, dsu, greedy, math, sortings"
Max Plus Min Plus Size,2018,D,N/A,"data structures, dp, dsu, greedy, implementation, matrices, sortings"
Tree Pruning,2018,C,N/A,"brute force, dfs and similar, greedy, sortings, trees"
Speedbreaker,2018,B,N/A,"binary search, data structures, dp, greedy, implementation, two pointers"
Cards Partition,2018,A,N/A,"2-sat, brute force, greedy, implementation, math"
Robin Hood Archery,2014,H,N/A,"data structures, divide and conquer, greedy, hashing"
Milky Days,2014,G,N/A,"brute force, data structures, greedy, implementation"
Sheriff's Defense,2014,F,N/A,"dfs and similar, dp, greedy, trees"
Rendez-vous de Marian et Robin,2014,E,N/A,"dfs and similar, graphs, shortest paths"
Robert Hood and Mrs Hood,2014,D,N/A,"brute force, data structures, greedy, sortings"
Robin Hood in Town,2014,C,N/A,"binary search, greedy, math"
Robin Hood and the Major Oak,2014,B,N/A,math
Robin Helps,2014,A,N/A,"greedy, implementation"
Game in Tree (Hard Version),2013,F2,N/A,"binary search, data structures, trees"
Game in Tree (Easy Version),2013,F1,N/A,"binary search, brute force, data structures, dp, games, greedy, implementation, trees"
Prefix GCD,2013,E,N/A,"brute force, dp, greedy, math, number theory"
Minimize the Difference,2013,D,N/A,"binary search, greedy"
Password Cracking,2013,C,N/A,"constructive algorithms, interactive, strings"
Battle for Survive,2013,B,N/A,"constructive algorithms, greedy, math"
Zhan's Blender,2013,A,N/A,"constructive algorithms, math"
Stack and Queue,2011,I,N/A,"*special, data structures, divide and conquer"
Strange Matrix,2011,H,N/A,"*special, graphs, greedy"
Removal of a Permutation,2011,G,N/A,*special
Good Subarray,2011,F,N/A,"*special, data structures, greedy"
Rock-Paper-Scissors Bot,2011,E,N/A,"*special, greedy, strings"
Among Wolves,2011,D,N/A,*special
Split the Expression,2011,C,N/A,*special
Shuffle,2011,B,N/A,*special
Problem Solving,2011,A,N/A,*special
Message Transmission Error (hard version),2010,C2,N/A,"hashing, string suffix structures, strings, two pointers"
Message Transmission Error (easy version),2010,C1,N/A,"brute force, strings"
Three Brothers,2010,B,N/A,"brute force, implementation, math"
Alternating Sum of Numbers,2010,A,N/A,"brute force, implementation, math"
Yunli's Subarray Queries (extreme version),2009,G3,N/A,"data structures, dp, implementation"
Yunli's Subarray Queries (hard version),2009,G2,N/A,"binary search, data structures, dp"
Yunli's Subarray Queries (easy version),2009,G1,N/A,"binary search, data structures, two pointers"
Firefly's Queries,2009,F,N/A,"bitmasks, data structures, flows, math"
Klee's SUPER DUPER LARGE Array!!!,2009,E,N/A,"binary search, math, ternary search"
Satyam and Counting,2009,D,N/A,"geometry, math"
The Legend of Freya the Frog,2009,C,N/A,"implementation, math"
osu!mania,2009,B,N/A,"brute force, implementation"
Minimize!,2009,A,N/A,"brute force, math"
Sakurako's Test,2008,H,N/A,"binary search, brute force, greedy, math, number theory"
Sakurako's Task,2008,G,N/A,"binary search, greedy, math, number theory"
Sakurako's Box,2008,F,N/A,"combinatorics, math, number theory"
Alternating String,2008,E,N/A,"brute force, data structures, dp, greedy, implementation, strings"
Sakurako's Hobby,2008,D,N/A,"dp, dsu, graphs, math"
Longest Good Array,2008,C,N/A,"binary search, brute force, math"
Square or Not,2008,B,N/A,"brute force, math, strings"
Sakurako's Exam,2008,A,N/A,"brute force, constructive algorithms, greedy, math"
Dora and C++,2007,C,N/A,"math, number theory"
Index and Maximum Value,2007,B,N/A,"data structures, greedy"
Dora's Set,2007,A,N/A,"greedy, math, number theory"
Dora's Paint,2006,F,N/A,"brute force, combinatorics, constructive algorithms, graphs, implementation"
Iris's Full Binary Tree,2006,E,N/A,"brute force, data structures, dfs and similar, trees"
Iris and Adjacent Products,2006,D,N/A,"data structures, greedy, implementation, math"
Eri and Expanded Sets,2006,C,N/A,"data structures, divide and conquer, math, number theory, two pointers"
Iris and the Tree,2006,B,N/A,"brute force, data structures, dfs and similar, dsu, math, trees"
Iris and Game on the Tree,2006,A,N/A,"constructive algorithms, dfs and similar, games, graphs, greedy, trees"
Subtangle Game (Hard Version),2005,E2,N/A,"data structures, dp, games, greedy, implementation"
Subtangle Game (Easy Version),2005,E1,N/A,"dp, games, greedy, implementation"
Alter the GCD,2005,D,N/A,"binary search, brute force, data structures, divide and conquer, implementation, number theory"
Lazy Narek,2005,C,N/A,"dp, implementation, strings"
The Strict Teacher (Hard Version),2005,B2,N/A,"binary search, greedy, math, sortings"
The Strict Teacher (Easy Version),2005,B1,N/A,"greedy, math, sortings"
Simple Palindrome,2005,A,N/A,"combinatorics, constructive algorithms, greedy, math"
Substring Compression,2004,G,N/A,"data structures, dp, matrices"
Make a Palindrome,2004,F,N/A,"binary search, brute force, data structures, greedy, math"
Not a Nim Problem,2004,E,N/A,"brute force, games, math, number theory"
Colored Portals,2004,D,N/A,"binary search, brute force, data structures, graphs, greedy, implementation, shortest paths"
Splitting Items,2004,C,N/A,"games, greedy, sortings"
Game with Doors,2004,B,N/A,"brute force, greedy"
Closest Point,2004,A,N/A,"implementation, math"
Turtle and Three Sequences,2003,F,N/A,"brute force, data structures, dp, greedy, math, probabilities, two pointers"
Turtle and Inversions (Hard Version),2003,E2,N/A,"brute force, data structures, divide and conquer, dp, greedy, math, two pointers"
Turtle and Inversions (Easy Version),2003,E1,N/A,"brute force, divide and conquer, dp, greedy, math"
Turtle and a MEX Problem (Hard Version),2003,D2,N/A,"dfs and similar, dp, graphs, greedy, implementation, math"
Turtle and a MEX Problem (Easy Version),2003,D1,N/A,"greedy, math"
Turtle and Good Pairs,2003,C,N/A,"constructive algorithms, greedy, sortings, strings"
Turtle and Piggy Are Playing a Game 2,2003,B,N/A,"games, greedy, sortings"
Turtle and Good Strings,2003,A,N/A,"greedy, strings"
Counting 101,2002,H,N/A,greedy
Lattice Optimizing,2002,G,N/A,"bitmasks, brute force, hashing, meet-in-the-middle"
Court Blue (Hard Version),2002,F2,N/A,"brute force, dp, math, number theory"
Court Blue (Easy Version),2002,F1,N/A,"brute force, dfs and similar, dp, math, number theory"
Cosmic Rays,2002,E,N/A,"brute force, data structures, dp"
DFS Checker (Hard Version),2002,D2,N/A,"binary search, data structures, dfs and similar, graphs, hashing, trees"
DFS Checker (Easy Version),2002,D1,N/A,"brute force, data structures, dfs and similar, graphs, hashing, trees"
Black Circles,2002,C,N/A,"brute force, geometry, greedy, math"
Removals Game,2002,B,N/A,"constructive algorithms, games"
Distanced Coloring,2002,A,N/A,"constructive algorithms, implementation, math"
Deterministic Heap (Hard Version),2001,E2,N/A,"combinatorics, dp, trees"
Deterministic Heap (Easy Version),2001,E1,N/A,"combinatorics, dp, math, trees"
Longest Max Min Subsequence,2001,D,N/A,"brute force, constructive algorithms, data structures, greedy, implementation"
Guess The Tree,2001,C,N/A,"binary search, brute force, dfs and similar, divide and conquer, dsu, greedy, interactive, trees"
Generate Permutation,2001,B,N/A,constructive algorithms
Make All Equal,2001,A,N/A,"greedy, implementation"
Ksyusha and the Loaded Set,2000,H,N/A,"binary search, brute force, data structures, implementation"
Call During the Journey,2000,G,N/A,"binary search, brute force, graphs, greedy, shortest paths"
Color Rows and Columns,2000,F,N/A,"dp, greedy, implementation, math"
Photoshoot for Gorillas,2000,E,N/A,"combinatorics, data structures, greedy, math"
Right Left Wrong,2000,D,N/A,"greedy, implementation, two pointers"
Numeric String Template,2000,C,N/A,"data structures, strings"
Seating in a Bus,2000,B,N/A,two pointers
Primary Task,2000,A,N/A,"implementation, math, strings"
Ruler (hard version),1999,G2,N/A,"binary search, interactive, ternary search"
Ruler (easy version),1999,G1,N/A,"binary search, interactive"
Expected Median,1999,F,N/A,"combinatorics, math"
Triple Operations,1999,E,N/A,"dp, implementation, math"
Slavic's Exam,1999,D,N/A,"greedy, implementation, strings"
Showering,1999,C,N/A,"greedy, implementation"
Card Game,1999,B,N/A,"brute force, constructive algorithms, implementation"
A+B Again?,1999,A,N/A,"implementation, math"
Eliminating Balls With Merging (Hard Version),1998,E2,N/A,"binary search, brute force, data structures, divide and conquer, greedy, implementation"
Eliminating Balls With Merging (Easy Version),1998,E1,N/A,"binary search, brute force, data structures, divide and conquer, greedy"
Determine Winning Islands in Race,1998,D,N/A,"data structures, dp, graphs, greedy, shortest paths"
Perform Operations to Maximize Score,1998,C,N/A,"binary search, brute force, constructive algorithms, greedy, implementation"
Minimize Equal Sum Subarrays,1998,B,N/A,"constructive algorithms, math, number theory"
Find K Distinct Points with Fixed Center,1998,A,N/A,"constructive algorithms, implementation, math"
Chips on a Line,1997,F,N/A,"brute force, combinatorics, dp, greedy, math"
Level Up,1997,E,N/A,"binary search, brute force, data structures, divide and conquer, implementation"
Maximize the Root,1997,D,N/A,"binary search, dfs and similar, dp, greedy, trees"
Even Positions,1997,C,N/A,"constructive algorithms, data structures, greedy"
Make Three Regions,1997,B,N/A,"constructive algorithms, two pointers"
Strong Password,1997,A,N/A,"brute force, implementation, strings"
Penacony,1996,G,N/A,"brute force, data structures, graphs, greedy, hashing"
Bomb,1996,F,N/A,"binary search, greedy, math"
Decode,1996,E,N/A,"combinatorics, data structures, implementation, math"
Fun,1996,D,N/A,"binary search, brute force, combinatorics, math, number theory"
Sort,1996,C,N/A,"dp, greedy, sortings, strings"
Scale,1996,B,N/A,"greedy, implementation"
Legs,1996,A,N/A,"binary search, math, ternary search"
Let Me Teach You a Lesson (Hard Version),1995,E2,N/A,"data structures, dp, matrices, two pointers"
Let Me Teach You a Lesson (Easy Version),1995,E1,N/A,"2-sat, data structures, dp, matrices, two pointers"
Cases,1995,D,N/A,"bitmasks, brute force, dp, strings"
Squaring,1995,C,N/A,"brute force, constructive algorithms, greedy, implementation, math, number theory"
Bouquet (Hard Version),1995,B2,N/A,"binary search, data structures, greedy, math, sortings, two pointers"
Bouquet (Easy Version),1995,B1,N/A,"binary search, brute force, greedy, sortings, two pointers"
Diagonals,1995,A,N/A,"brute force, greedy, implementation, math"
Fortnite,1994,H,N/A,"combinatorics, constructive algorithms, games, greedy, hashing, interactive, math, number theory, strings"
Minecraft,1994,G,N/A,"bitmasks, brute force, dp, graphs, math"
Stardew Valley,1994,F,N/A,"constructive algorithms, dfs and similar, graphs, trees"
Wooden Game,1994,E,N/A,"bitmasks, greedy, math, trees"
Funny Game,1994,D,N/A,"constructive algorithms, dsu, graphs, greedy, math, number theory, trees"
Hungry Games,1994,C,N/A,"binary search, dp, two pointers"
Fun Game,1994,B,N/A,"bitmasks, constructive algorithms, greedy, math"
Diverse Game,1994,A,N/A,"constructive algorithms, greedy, implementation"
Dyn-scripted Robot (Hard Version),1993,F2,N/A,"chinese remainder theorem, math, number theory"
Dyn-scripted Robot (Easy Version),1993,F1,N/A,"brute force, chinese remainder theorem, constructive algorithms, math, number theory"
Xor-Grid Problem,1993,E,N/A,"bitmasks, constructive algorithms, dp, implementation"
Med-imize,1993,D,N/A,"binary search, dp, greedy"
Light Switches,1993,C,N/A,"implementation, math"
Parity and Sum,1993,B,N/A,"constructive algorithms, greedy"
Question Marks,1993,A,N/A,"greedy, implementation"
Ultra-Meow,1992,G,N/A,"combinatorics, dp, math"
Valuable Cards,1992,F,N/A,"brute force, dp, greedy, number theory, two pointers"
Novice's Mistake,1992,E,N/A,"brute force, constructive algorithms, implementation, math, strings"
Test of Love,1992,D,N/A,"dp, greedy, implementation"
Gorilla and Permutation,1992,C,N/A,"constructive algorithms, math"
Angry Monk,1992,B,N/A,"greedy, math, sortings"
Only Pluses,1992,A,N/A,"brute force, constructive algorithms, greedy, math, sortings"
Grid Game,1991,I,N/A,"constructive algorithms, games, graph matchings, greedy, interactive"
Prime Split Game,1991,H,N/A,"bitmasks, dp, fft, games, math, number theory"
Grid Reset,1991,G,N/A,"constructive algorithms, greedy, implementation"
Triangle Formation,1991,F,N/A,"brute force, greedy, implementation, math, sortings"
Coloring Game,1991,E,N/A,"constructive algorithms, dfs and similar, games, graphs, greedy, interactive"
Prime XOR Coloring,1991,D,N/A,"bitmasks, constructive algorithms, graphs, greedy, math, number theory"
Absolute Zero,1991,C,N/A,"constructive algorithms, greedy, math"
AND Reconstruction,1991,B,N/A,"bitmasks, constructive algorithms, greedy"
Maximize the Last Element,1991,A,N/A,"greedy, implementation"
Polygonal Segments,1990,F,N/A,"brute force, data structures, divide and conquer, dp, greedy, two pointers"
